"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"153","-1","1000","0.8","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-2.4400000000000004","-5.000000000000001"
"154","-1","1000","0.8","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.9520000000000004","-5.000000000000001"
"155","-1","1000","0.8","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-4.64858728766977","-5.000000000000001"
"156","-1","1000","0.8","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-4.859262511644673","-5.000000000000001"
"157","-1","1000","0.8","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-4.9631065118525814","-5.000000000000001"
"158","-1","1000","0.8","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-4.996038591874289","-5.000000000000001"
"159","-1","1000","0.8","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-4.999738644504936","-4.999735413347116"
"160","-1","1000","0.8","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-4.999738511791623","-4.999730342463714"
"161","-1","1000","0.85","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-6.666666666666746"
"162","-1","1000","0.85","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.85","-6.666666666666746"
"163","-1","1000","0.85","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-3.186625","-6.666666666666746"
"164","-1","1000","0.85","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-3.70863125","-6.666666666666746"
"165","-1","1000","0.85","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-6.362670344435182","-6.666666666666746"
